index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,Mastery
23,Class1,1704206880.0,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,3,8b6d1125760bd3939b6e,1.0
24,Class1,1704206832.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,344,3,8b6d1125760bd3939b6e,1.0
25,Class1,1704206799.0,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,444,4,8b6d1125760bd3939b6e,1.0
26,Class1,1704206762.0,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_gj1NLb4Jn7URf9K2kQPd,308,3,8b6d1125760bd3939b6e,1.0
27,Class1,1704206721.0,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_Cj9Ya2R7fZd6xs1q5mNQ,192,3,8b6d1125760bd3939b6e,1.0
28,Class1,1704206680.0,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_gj1NLb4Jn7URf9K2kQPd,196,2,8b6d1125760bd3939b6e,1.0
29,Class1,1704206640.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_5Q4KoXthUuYz3bvrTDFm,312,3,8b6d1125760bd3939b6e,1.0
30,Class1,1704206618.0,Absolutely_Correct,3,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_5Q4KoXthUuYz3bvrTDFm,320,2,8b6d1125760bd3939b6e,1.0
31,Class1,1704206578.0,Absolutely_Correct,3,Question_UXqN1F7G3Sbldz02vZne,Method_5Q4KoXthUuYz3bvrTDFm,320,2,8b6d1125760bd3939b6e,1.0
32,Class1,1704206533.0,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_BXr9AIsPQhwNvyGdZL57,332,3,8b6d1125760bd3939b6e,1.0
33,Class1,1704206514.0,Error1,0,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_5Q4KoXthUuYz3bvrTDFm,0,1,8b6d1125760bd3939b6e,0.1
34,Class1,1704206477.0,Error1,0,Question_62XbhBvJ8NUSnApgDL94,Method_gj1NLb4Jn7URf9K2kQPd,0,1,8b6d1125760bd3939b6e,0.1
35,Class1,1704206472.0,Error1,0,Question_62XbhBvJ8NUSnApgDL94,Method_gj1NLb4Jn7URf9K2kQPd,0,2,8b6d1125760bd3939b6e,0.1
36,Class1,1704206466.0,Error1,0,Question_62XbhBvJ8NUSnApgDL94,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,8b6d1125760bd3939b6e,0.1
37,Class1,1704206429.0,Error1,0,Question_62XbhBvJ8NUSnApgDL94,Method_gj1NLb4Jn7URf9K2kQPd,0,5,8b6d1125760bd3939b6e,0.1
38,Class1,1704206409.0,Error1,0,Question_62XbhBvJ8NUSnApgDL94,Method_m8vwGkEZc3TSW2xqYUoR,0,5,8b6d1125760bd3939b6e,0.1
39,Class1,1704206352.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_BXr9AIsPQhwNvyGdZL57,484,2,8b6d1125760bd3939b6e,1.0
40,Class1,1704206304.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_Cj9Ya2R7fZd6xs1q5mNQ,316,2,8b6d1125760bd3939b6e,1.0
41,Class1,1704206251.0,Absolutely_Correct,3,Question_Ej5mBw9rsOUKkFycGvz2,Method_gj1NLb4Jn7URf9K2kQPd,320,3,8b6d1125760bd3939b6e,1.0
42,Class1,1704206203.0,Absolutely_Correct,3,Question_pVKXjZn0BkSwYcsa7C31,Method_gj1NLb4Jn7URf9K2kQPd,196,2,8b6d1125760bd3939b6e,1.0
43,Class1,1704206173.0,Absolutely_Correct,3,Question_QRm48lXxzdP7Tn1WgNOf,Method_5Q4KoXthUuYz3bvrTDFm,312,2,8b6d1125760bd3939b6e,1.0
44,Class1,1704206137.0,Absolutely_Correct,3,Question_Jr4Wz5jLqmN01KUwHa7g,Method_5Q4KoXthUuYz3bvrTDFm,320,5,8b6d1125760bd3939b6e,1.0
45,Class1,1704206051.0,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_gj1NLb4Jn7URf9K2kQPd,0,2,8b6d1125760bd3939b6e,0.1
46,Class1,1704206037.0,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_m8vwGkEZc3TSW2xqYUoR,0,4,8b6d1125760bd3939b6e,0.1
47,Class1,1704206024.0,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_m8vwGkEZc3TSW2xqYUoR,0,5,8b6d1125760bd3939b6e,0.1
48,Class1,1704205997.0,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_BXr9AIsPQhwNvyGdZL57,0,4,8b6d1125760bd3939b6e,0.1
49,Class1,1704205918.0,Absolutely_Correct,3,Question_7NJzCXUPcvQF4Mkfh9Wr,Method_5Q4KoXthUuYz3bvrTDFm,344,3,8b6d1125760bd3939b6e,1.0
50,Class1,1704205878.0,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_m8vwGkEZc3TSW2xqYUoR,332,2,8b6d1125760bd3939b6e,1.0
51,Class1,1704205867.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,0,5,8b6d1125760bd3939b6e,0.1
52,Class1,1704205818.0,Absolutely_Correct,3,Question_NixCn84GdK2tySa5rB1V,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,3,8b6d1125760bd3939b6e,1.0
53,Class1,1704205782.0,Absolutely_Correct,3,Question_TmKaGvfNoXYq4FZ2JrBu,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,2,8b6d1125760bd3939b6e,1.0
54,Class1,1704205741.0,Absolutely_Correct,2,Question_s6VmP1G4UbEQWRYHK9Fd,Method_5Q4KoXthUuYz3bvrTDFm,320,3,8b6d1125760bd3939b6e,1.0
55,Class1,1704205735.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_5Q4KoXthUuYz3bvrTDFm,0,4,8b6d1125760bd3939b6e,0.1
56,Class1,1704205691.0,Absolutely_Correct,2,Question_tgOjrpZLw4RdVzQx85h6,Method_gj1NLb4Jn7URf9K2kQPd,188,2,8b6d1125760bd3939b6e,1.0
57,Class1,1704205545.0,Absolutely_Correct,3,Question_4nHcauCQ0Y6Pm8DgKlLo,Method_Cj9Ya2R7fZd6xs1q5mNQ,360,2,8b6d1125760bd3939b6e,1.0
58,Class1,1704205529.0,Error1,0,Question_4nHcauCQ0Y6Pm8DgKlLo,Method_5Q4KoXthUuYz3bvrTDFm,0,5,8b6d1125760bd3939b6e,0.1
59,Class1,1704205050.0,Error1,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_gj1NLb4Jn7URf9K2kQPd,0,2,a8eea517e36b20757b2e,0.1
60,Class1,1704205024.0,Error1,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_gj1NLb4Jn7URf9K2kQPd,0,4,a8eea517e36b20757b2e,0.1
61,Class1,1704205001.0,Error1,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_BXr9AIsPQhwNvyGdZL57,0,1,a8eea517e36b20757b2e,0.1
62,Class1,1704204934.0,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,0,2,a8eea517e36b20757b2e,0.1
63,Class1,1704204926.0,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,0,3,a8eea517e36b20757b2e,0.1
64,Class1,1704204895.0,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_5Q4KoXthUuYz3bvrTDFm,0,4,a8eea517e36b20757b2e,0.1
65,Class1,1704204826.0,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,0,5,a8eea517e36b20757b2e,0.1
66,Class1,1704204804.0,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,0,4,a8eea517e36b20757b2e,0.1
67,Class1,1704204756.0,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_gj1NLb4Jn7URf9K2kQPd,312,2,a8eea517e36b20757b2e,1.0
68,Class1,1704204734.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,200,2,a8eea517e36b20757b2e,1.0
69,Class1,1704204704.0,Error1,0,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,0,1,a8eea517e36b20757b2e,0.1
70,Class1,1704204684.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_BXr9AIsPQhwNvyGdZL57,360,2,a8eea517e36b20757b2e,1.0
71,Class1,1704204626.0,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,0,4,a8eea517e36b20757b2e,0.1
72,Class1,1704204617.0,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_gj1NLb4Jn7URf9K2kQPd,0,3,a8eea517e36b20757b2e,0.1
73,Class1,1704204589.0,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_gj1NLb4Jn7URf9K2kQPd,340,3,a8eea517e36b20757b2e,0.0
74,Class1,1704204565.0,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_Cj9Ya2R7fZd6xs1q5mNQ,184,3,a8eea517e36b20757b2e,1.0
75,Class1,1704204547.0,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_gj1NLb4Jn7URf9K2kQPd,320,2,a8eea517e36b20757b2e,1.0
76,Class1,1704204513.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_m8vwGkEZc3TSW2xqYUoR,324,3,a8eea517e36b20757b2e,1.0
77,Class1,1704204448.0,Error1,0,Question_Az73sM0rHfWVKuc4X2kL,Method_gj1NLb4Jn7URf9K2kQPd,0,2,a8eea517e36b20757b2e,0.1
78,Class1,1704204407.0,Error1,0,Question_Az73sM0rHfWVKuc4X2kL,Method_BXr9AIsPQhwNvyGdZL57,0,5,a8eea517e36b20757b2e,0.1
79,Class1,1704204376.0,Absolutely_Correct,3,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_Cj9Ya2R7fZd6xs1q5mNQ,316,2,a8eea517e36b20757b2e,1.0
80,Class1,1704204356.0,Absolutely_Correct,3,Question_UXqN1F7G3Sbldz02vZne,Method_5Q4KoXthUuYz3bvrTDFm,332,3,a8eea517e36b20757b2e,1.0
81,Class1,1704204331.0,Absolutely_Error,0,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_gj1NLb4Jn7URf9K2kQPd,324,3,a8eea517e36b20757b2e,0.0
82,Class1,1704204263.0,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_gj1NLb4Jn7URf9K2kQPd,476,3,a8eea517e36b20757b2e,1.0
83,Class1,1704182829.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,192,2,e89cdaa3f159a0d3f55e,1.0
84,Class1,1704182817.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_BXr9AIsPQhwNvyGdZL57,344,2,e89cdaa3f159a0d3f55e,1.0
85,Class1,1704182802.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,196,2,e89cdaa3f159a0d3f55e,1.0
86,Class1,1704182784.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,192,2,e89cdaa3f159a0d3f55e,1.0
87,Class1,1704181499.0,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,492,3,e89cdaa3f159a0d3f55e,0.0
88,Class1,1704181447.0,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_BXr9AIsPQhwNvyGdZL57,192,2,e89cdaa3f159a0d3f55e,0.0
89,Class1,1704181436.0,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,180,2,e89cdaa3f159a0d3f55e,0.0
90,Class1,1704180755.0,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_gj1NLb4Jn7URf9K2kQPd,312,2,e89cdaa3f159a0d3f55e,0.0
91,Class1,1704180707.0,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,320,3,e89cdaa3f159a0d3f55e,0.1
92,Class1,1704180460.0,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,2,e89cdaa3f159a0d3f55e,0.1
93,Class1,1704180413.0,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_gj1NLb4Jn7URf9K2kQPd,448,3,e89cdaa3f159a0d3f55e,0.1
94,Class1,1704180380.0,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_gj1NLb4Jn7URf9K2kQPd,324,3,e89cdaa3f159a0d3f55e,0.1
95,Class1,1704180327.0,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,464,2,e89cdaa3f159a0d3f55e,0.1
96,Class1,1704180187.0,Error6,0,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,2,e89cdaa3f159a0d3f55e,0.1
97,Class1,1704173756.0,Error4,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_BXr9AIsPQhwNvyGdZL57,8544,9,a8eea517e36b20757b2e,0.1
98,Class1,1704173230.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_m8vwGkEZc3TSW2xqYUoR,312,2,a8eea517e36b20757b2e,1.0
99,Class1,1704173188.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_m8vwGkEZc3TSW2xqYUoR,324,2,a8eea517e36b20757b2e,1.0
100,Class1,1703572666.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_BXr9AIsPQhwNvyGdZL57,320,2,5d89810b20079366fcc2,1.0
101,Class1,1703572606.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_BXr9AIsPQhwNvyGdZL57,320,3,5d89810b20079366fcc2,1.0
102,Class1,1703572486.0,Absolutely_Correct,3,Question_Ej5mBw9rsOUKkFycGvz2,Method_BXr9AIsPQhwNvyGdZL57,340,2,5d89810b20079366fcc2,1.0
103,Class1,1703570361.0,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,196,2,e324cc9cb52a2b3cb9cb,1.0
104,Class1,1703570344.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,0,1,e324cc9cb52a2b3cb9cb,0.1
105,Class1,1703570326.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_gj1NLb4Jn7URf9K2kQPd,204,2,e324cc9cb52a2b3cb9cb,1.0
106,Class1,1703570295.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,e324cc9cb52a2b3cb9cb,0.1
107,Class1,1703516765.0,Absolutely_Error,0,Question_Az73sM0rHfWVKuc4X2kL,Method_5Q4KoXthUuYz3bvrTDFm,312,2,e324cc9cb52a2b3cb9cb,0.0
108,Class1,1703516753.0,Absolutely_Error,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_Cj9Ya2R7fZd6xs1q5mNQ,188,3,e324cc9cb52a2b3cb9cb,0.0
109,Class1,1703512544.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,196,3,98e10f84d94623f8b39e,1.0
110,Class1,1703512527.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,0,3,98e10f84d94623f8b39e,0.1
111,Class1,1703512518.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,0,2,98e10f84d94623f8b39e,0.1
112,Class1,1703512467.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,0,2,98e10f84d94623f8b39e,0.1
113,Class1,1703511652.0,Absolutely_Error,0,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,308,3,98e10f84d94623f8b39e,0.0
114,Class1,1703511308.0,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_5Q4KoXthUuYz3bvrTDFm,316,3,98e10f84d94623f8b39e,1.0
115,Class1,1703509749.0,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,192,2,98e10f84d94623f8b39e,0.0
116,Class1,1703509712.0,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_5Q4KoXthUuYz3bvrTDFm,196,2,98e10f84d94623f8b39e,0.0
117,Class1,1703509690.0,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,0,3,98e10f84d94623f8b39e,0.1
118,Class1,1703509607.0,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,98e10f84d94623f8b39e,0.1
119,Class1,1703509213.0,Partially_Correct,1,Question_X3wF8QlTyi4mZkDp9Kae,Method_BXr9AIsPQhwNvyGdZL57,320,3,98e10f84d94623f8b39e,0.3333333333333333
120,Class1,1703509202.0,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,312,3,98e10f84d94623f8b39e,0.1
121,Class1,1703509162.0,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,3,98e10f84d94623f8b39e,0.1
122,Class1,1703509149.0,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_gj1NLb4Jn7URf9K2kQPd,196,2,98e10f84d94623f8b39e,1.0
123,Class1,1703509125.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,0,4,98e10f84d94623f8b39e,0.1
124,Class1,1703509093.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,0,2,98e10f84d94623f8b39e,0.1
125,Class1,1703509035.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,0,1,98e10f84d94623f8b39e,0.1
126,Class1,1703508947.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,0,3,98e10f84d94623f8b39e,0.1
127,Class1,1703508857.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,0,5,98e10f84d94623f8b39e,0.1
128,Class1,1703508850.0,Partially_Correct,1,Question_s6VmP1G4UbEQWRYHK9Fd,Method_5Q4KoXthUuYz3bvrTDFm,496,2,98e10f84d94623f8b39e,0.5
129,Class1,1703508838.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_gj1NLb4Jn7URf9K2kQPd,324,2,98e10f84d94623f8b39e,1.0
130,Class1,1703508573.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,324,2,98e10f84d94623f8b39e,0.0
131,Class1,1703508547.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,324,3,98e10f84d94623f8b39e,0.0
132,Class1,1703508454.0,Error1,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,3,98e10f84d94623f8b39e,0.1
133,Class1,1703508437.0,Partially_Correct,1,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,360,2,98e10f84d94623f8b39e,0.3333333333333333
134,Class1,1703508318.0,Partially_Correct,1,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,344,3,98e10f84d94623f8b39e,0.3333333333333333
135,Class1,1703508238.0,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,328,3,98e10f84d94623f8b39e,1.0
136,Class1,1703508182.0,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_BXr9AIsPQhwNvyGdZL57,0,2,98e10f84d94623f8b39e,0.1
137,Class1,1703508107.0,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,0,3,98e10f84d94623f8b39e,0.1
138,Class1,1703507672.0,Partially_Correct,1,Question_oCjnFLbIs4Uxwek9rBpu,Method_BXr9AIsPQhwNvyGdZL57,340,3,98e10f84d94623f8b39e,0.3333333333333333
139,Class1,1703507334.0,Partially_Correct,1,Question_oCjnFLbIs4Uxwek9rBpu,Method_5Q4KoXthUuYz3bvrTDFm,360,2,98e10f84d94623f8b39e,0.3333333333333333
140,Class1,1703506910.0,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_m8vwGkEZc3TSW2xqYUoR,324,2,98e10f84d94623f8b39e,1.0
141,Class1,1703506858.0,Absolutely_Error,0,Question_EhVPdmlB31M8WKGqL0wc,Method_Cj9Ya2R7fZd6xs1q5mNQ,328,3,98e10f84d94623f8b39e,0.0
142,Class1,1703506762.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_5Q4KoXthUuYz3bvrTDFm,320,4,98e10f84d94623f8b39e,1.0
143,Class1,1703506721.0,Error1,0,Question_Az73sM0rHfWVKuc4X2kL,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,98e10f84d94623f8b39e,0.1
144,Class1,1703506621.0,Error1,0,Question_Az73sM0rHfWVKuc4X2kL,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,98e10f84d94623f8b39e,0.1
145,Class1,1703495460.0,Error2,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_gj1NLb4Jn7URf9K2kQPd,328,3,e324cc9cb52a2b3cb9cb,0.1
146,Class1,1703494455.0,Error2,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,332,4,e324cc9cb52a2b3cb9cb,0.1
147,Class1,1703494445.0,Error2,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,356,4,e324cc9cb52a2b3cb9cb,0.1
